id,Age,Attrition,BusinessTravel,DailyRate,Department,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Tax,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsWithCurrManager
685332152,41,1,Travel_Rarely,1102,Sales,2,Life Sciences,2,Female,94,2,Sales Executive,4,Single,5993,0.025,8,Yes,3,1,8,0,1,4,5
5895210511,49,0,Travel_Frequently,279,Research & Development,1,Life Sciences,3,Male,61,2,Research Scientist,2,Married,5130,0.081,1,N,4,4,10,3,3,7,7
8401629136,37,1,Travel_Rarely,1373,Research & Development,2,Other,4,Male,92,1,Laboratory Technician,3,Single,2090,0.016,6,Yes,3,2,7,3,3,0,0
9740433758,33,0,Travel_Frequently,1392,Research & Development,4,Life Sciences,4,Female,56,1,Research Scientist,3,Married,2909,0.013,1,Yes,3,3,8,3,3,7,0
6728964398,27,0,Travel_Rarely,591,Research & Development,1,Medical,1,Male,40,1,Laboratory Technician,2,Married,3468,0.027,9,No,3,4,6,3,3,2,2
43980031,32,0,Travel_Frequently,1005,Research & Development,2,Life Sciences,4,Male,79,1,Laboratory Technician,4,Single,3068,0.074,0,No,3,3,8,2,2,7,6
1475224907,59,0,Travel_Rarely,1324,Research & Development,3,Medical,3,Female,81,1,Laboratory Technician,1,Married,2670,0.013,4,Yes,4,1,12,3,2,0,0
9109806717,30,0,Travel_Rarely,1358,Research & Development,1,Life Sciences,4,Male,67,1,Laboratory Technician,3,Divorced,2693,0.041,1,N,4,2,1,2,3,0,0
9702380987,38,0,Travel_Frequently,216,Research & Development,3,Life Sciences,4,Male,44,3,Manufacturing Director,3,Single,9526,0.059,0,N,4,2,10,2,3,7,8
3310086364,36,0,Travel_Rarely,1299,Research & Development,3,Medical,3,Male,94,2,Healthcare Representative,3,Married,5237,0.06,6,No,3,2,17,3,2,7,7
1927492963,35,0,Travel_Rarely,809,Research & Development,3,Medical,1,Male,84,1,Laboratory Technician,2,Married,2426,0.041,0,No,3,3,6,5,3,4,3
1657620859,29,0,Travel_Rarely,153,Research & Development,2,Life Sciences,4,Female,49,2,Laboratory Technician,3,Single,,0.068,0,Y,3,4,10,3,3,5,8
3741798215,31,0,Travel_Rarely,670,Research & Development,1,Life Sciences,1,Male,31,1,Research Scientist,3,Divorced,,0.034,1,No,3,4,5,1,2,2,3
3910540635,34,0,Travel_Rarely,1346,Research & Development,2,Medical,2,Male,93,1,Laboratory Technician,4,Divorced,,0.068,0,No,3,3,3,2,3,2,2
6399507138,28,1,Travel_Rarely,103,Research & Development,3,Life Sciences,3,Male,50,1,Laboratory Technician,3,Single,,0.033,5,Y,3,2,6,4,3,2,3
2818777062,29,0,Travel_Rarely,1389,Research & Development,4,Life Sciences,2,Female,51,3,Manufacturing Director,1,Divorced,9980,0.043,1,No,3,3,10,1,3,9,8
8718831567,32,0,Travel_Rarely,334,Research & Development,2,Life Sciences,1,Male,80,1,Research Scientist,2,Divorced,3298,0.067,0,Y,3,4,7,5,2,2,5
2264842806,22,0,Non-Travel,1123,Research & Development,2,Medical,4,Male,96,1,Laboratory Technician,4,Divorced,2935,0.034,1,Yes,3,2,1,2,2,0,0
9234554981,53,0,Travel_Rarely,35000,Sales,4,Life Sciences,1,Female,78,4,Manager,4,Married,15427,0.032,2,No,3,3,31,3,3,8,7
3189536317,38,0,Travel_Rarely,371,Research & Development,3,Life Sciences,4,Male,45,1,Research Scientist,4,Single,3944,0.019,5,Yes,3,3,6,3,3,2,2
733978150,24,0,Non-Travel,673,Research & Development,2,Other,1,Female,96,2,Manufacturing Director,3,Divorced,4011,0.079,0,No,3,4,5,5,2,2,3
8863345694,36,1,Travel_Rarely,1218,Sales,4,Life Sciences,3,Male,82,1,Sales Representative,1,Single,3407,0.052,7,No,4,2,10,4,3,3,3
4750808806,34,0,Travel_Rarely,419,Research & Development,4,Life Sciences,1,Female,53,3,Research Director,2,Single,11994,0.079,-1,N,3,3,13,4,3,6,11
1381791085,21,0,Travel_Rarely,391,Research & Development,2,Life Sciences,3,Male,96,1,Research Scientist,4,Single,1232,0.083,1,N,3,4,0,6,3,0,0
9942380000,34,1,Travel_Rarely,699,Research & Development,1,Medical,2,Male,83,1,Research Scientist,1,Single,2960,0.07,2,No,3,3,8,2,3,2,3
7406438125,53,0,Travel_Rarely,1282,Research & Development,3,Other,3,Female,58,5,Manager,3,Divorced,19094,0.048,4,No,3,4,26,3,2,13,8
3877934137,32,1,Travel_Frequently,1125,Research & Development,1,Life Sciences,2,Female,72,1,Research Scientist,1,Single,3919,0.052,1,Yes,4,2,10,5,3,2,7
5914076501,42,0,Travel_Rarely,691,Sales,4,Marketing,3,Male,48,2,Sales Executive,2,Married,6825,0.031,0,No,3,4,10,2,3,7,2
5047058719,44,0,Travel_Rarely,477,Research & Development,4,Medical,1,Female,42,3,Healthcare Representative,4,Married,10248,0.012,3,No,3,4,24,4,3,6,17
4092497016,46,0,Travel_Rarely,705,Sales,4,Marketing,2,Female,83,5,Manager,1,Single,18947,0.051,3,No,3,4,22,2,2,2,1
4719376282,33,0,Travel_Rarely,924,Research & Development,3,Medical,3,Male,78,1,Laboratory Technician,4,Single,2496,0.088,4,No,3,4,7,3,3,1,0
2396584146,44,0,Travel_Rarely,1459,Research & Development,4,Other,4,Male,41,2,Healthcare Representative,4,Married,6465,0.05,2,Yes,3,4,9,5,4,2,3
4995845836,30,0,Travel_Rarely,125,Research & Development,2,Medical,4,Male,83,1,Laboratory Technician,3,Single,2206,0.044,1,No,3,1,10,5,3,0,8
1683869133,39,1,Travel_Rarely,895,Sales,3,Technical Degree,4,Male,56,2,Sales Representative,4,Married,2086,0.028,3,N,3,3,19,6,4,0,0
5813105905,24,1,Travel_Rarely,813,Research & Development,3,Medical,2,Male,61,1,Research Scientist,4,Married,2293,0.033,2,Yes,3,1,6,2,2,0,0
3884949152,43,0,Travel_Rarely,1273,Research & Development,2,Medical,4,Female,72,1,Research Scientist,3,Divorced,2645,0.021,1,No,3,4,6,3,2,3,4
5224420180,50,1,Travel_Rarely,869,Sales,2,Marketing,1,Male,86,1,Sales Representative,3,Married,2683,0.075,1,Yes,3,3,3,2,3,2,2
7070176678,35,0,Travel_Rarely,890,Sales,3,Marketing,4,Female,97,1,Sales Representative,4,Married,2014,0.081,1,No,3,1,2,3,3,2,2
577669826,36,0,Travel_Rarely,852,Research & Development,4,Life Sciences,2,Female,82,1,Research Scientist,1,Married,3419,0.045,9,Yes,3,4,6,3,4,1,0
6466884856,33,0,Travel_Frequently,1141,Sales,3,Life Sciences,3,Female,42,2,Sales Executive,1,Married,5376,0.083,2,No,3,1,10,3,3,3,3
3897525771,35,0,Travel_Rarely,464,Research & Development,2,Other,3,Male,75,1,Laboratory Technician,4,Divorced,1951,0.025,1,N,3,3,1,3,3,0,0
298749815,27,0,Travel_Rarely,1240,Research & Development,4,Life Sciences,4,Female,33,1,Laboratory Technician,1,Divorced,2341,0.061,1,N,3,4,1,6,3,0,0
6684445781,26,1,Travel_Rarely,1357,Research & Development,3,Life Sciences,1,Male,48,1,Laboratory Technician,3,Single,2293,0.032,1,No,3,3,1,2,2,0,1
3553056975,27,0,Travel_Frequently,994,Sales,3,Life Sciences,4,Male,37,3,Sales Executive,3,Single,8726,0.063,1,No,3,4,9,0,3,8,7
3563932387,30,0,Travel_Frequently,721,Research & Development,2,Medical,3,Female,58,2,Laboratory Technician,4,Single,4011,0.072,1,No,4,4,12,2,3,8,7
8102243589,41,1,Travel_Rarely,1360,Research & Development,3,Technical Degree,2,Female,49,5,Research Director,3,Married,19545,0.057,1,No,3,4,23,0,3,15,8
3580459309,34,0,Non-Travel,1065,Sales,4,Marketing,2,Male,72,2,Sales Executive,3,Single,4568,0.029,0,No,4,3,10,2,3,5,7
8602180101,37,0,Travel_Rarely,408,Research & Development,2,Life Sciences,2,Male,73,1,Research Scientist,2,Married,3022,0.078,4,No,4,1,8,1,3,0,0
9479682443,46,0,Travel_Frequently,1211,Sales,4,Marketing,1,Male,98,2,Sales Executive,4,Single,5772,0.058,4,Yes,4,3,14,4,3,6,8
8231877045,35,0,Travel_Rarely,1229,Research & Development,1,Life Sciences,4,Male,36,1,Laboratory Technician,4,Married,2269,0.08,1,No,3,4,1,2,3,0,1
8457331299,48,1,Travel_Rarely,626,Research & Development,2,Life Sciences,1,Male,98,3,Laboratory Technician,3,Single,5381,0.01,9,Yes,3,4,23,2,3,0,0
656008261,28,1,Travel_Rarely,1434,Research & Development,4,Technical Degree,3,Male,50,1,Laboratory Technician,3,Single,3441,0.02,1,Yes,3,3,2,3,2,2,2
1154369021,44,0,Travel_Rarely,1488,Sales,5,Marketing,2,Female,75,2,Sales Executive,1,Divorced,5454,0.013,5,Y,4,3,9,2,2,3,3
6920717018,35,0,Non-Travel,1097,Research & Development,2,Medical,3,Male,79,3,Healthcare Representative,1,Married,9884,0.028,2,Y,3,3,10,3,3,0,3
26315548,26,0,Travel_Rarely,1443,Sales,3,Marketing,3,Female,47,2,Sales Executive,4,Married,4157,0.076,7,Y,3,3,5,2,2,2,0
3211010424,33,0,Travel_Frequently,515,Research & Development,2,Life Sciences,1,Female,98,3,Research Director,4,Single,13458,0.077,1,Yes,3,3,15,1,3,14,12
7093034594,35,0,Travel_Frequently,853,Sales,5,Life Sciences,2,Male,71,3,Sales Executive,1,Married,9069,0.073,1,No,4,4,9,3,2,8,8
9682801796,35,0,Travel_Rarely,1142,Research & Development,4,Medical,3,Female,30,1,Laboratory Technician,1,Married,4014,0.051,3,Yes,3,3,4,3,3,2,2
41191609,31,0,Travel_Rarely,655,Research & Development,4,Life Sciences,4,Male,48,2,Laboratory Technician,4,Divorced,5915,0.032,3,No,4,4,10,3,2,7,7
938391666,37,0,Travel_Rarely,1115,Research & Development,4,Life Sciences,1,Male,51,2,Manufacturing Director,3,Divorced,5993,0.073,1,No,3,3,7,2,4,5,7
4585760202,32,0,Travel_Rarely,427,Research & Development,3,Medical,1,Male,33,2,Manufacturing Director,4,Married,6162,0.083,1,Yes,4,2,9,3,3,8,8
3515122427,38,0,Travel_Frequently,653,Research & Development,5,Life Sciences,4,Female,50,2,Laboratory Technician,4,Single,2406,0.054,1,No,3,4,10,2,3,3,9
1852909749,50,0,Travel_Rarely,989,Research & Development,2,Medical,2,Female,43,5,Research Director,3,Divorced,18740,0.021,5,Yes,3,4,29,2,2,3,8
9196343095,59,0,Travel_Rarely,1435,Sales,3,Life Sciences,1,Female,99,3,Sales Executive,1,Single,7637,0.042,7,No,3,4,28,3,2,16,9
